breed,origin,life_span_years,male_weight_adult_kg_min,male_weight_adult_kg_max,male_weight_6m_kg_min,male_weight_6m_kg_max,female_weight_adult_kg_min,female_weight_adult_kg_max,female_weight_6m_kg_min,female_weight_6m_kg_max,temperament,exercise_needs,trainability,coat,grooming,common_health_issues,recognized_by,also_known_as,fci_group,exercise_level,grooming_needs,enrichment_confidence,weights_confidence,health_notes_confidence,recommended_screenings,health_watchlist_tags,health_prevalence_notes
Perdigueiro Português,Portugal,11–14,,,,,,,,,"energetic, eager",,High,,,,FCI,Portuguese Pointer,7.0,High,Low,group-default heuristic,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Jagdterrier,Germany,11–14,,,,,,,,,typical for type,,Moderate,,,,"FCI, UKC",German Hunt Terrier,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Pražský krysařík,Czech Republic,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Prague Ratter,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Ca de Bou,Spain (Mallorca),11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Perro Dogo Mallorquin; Majorca Mastiff,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Ca de Bestiar,Spain (Mallorca),11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Perro de Pastor Mallorquin,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Thai Bangkaew Dog,Thailand,11–14,,,,,,,,,"independent, alert",,Challenging,,,,FCI,,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Kintamani-Bali Dog,Indonesia (Bali),11–14,,,,,,,,,"independent, alert",,Challenging,,,,FCI,,5.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Buldogue Campeiro,Brazil,11–14,,,,,,,,,typical for type,,Moderate,,,,"FCI, FCI (provisional)",Brazilian Campeiro Bulldog,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Ciobănesc Românesc Corb,Romania,11–14,,,,,,,,,typical for type,,Moderate,,,,"FCI, FCI (provisional)",Romanian Raven Shepherd Dog,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Kazakh Tazy,Kazakhstan,11–14,,,,,,,,,typical for type,,Moderate,,,,"FCI, FCI (provisional)",,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Ratonero Bodeguero Andaluz,Spain,11–14,,,,,,,,,typical for type,,Moderate,,,,"FCI, FCI (provisional)",Andalusian Terrier; Sherry Terrier,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Gos Rater Valencià,Spain (Valencia),11–14,,,,,,,,,typical for type,,Moderate,,,,"FCI, FCI (provisional)",Valencian Terrier,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Billy,France,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
Basset Artésien Normand,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,"FCI, KC (UK)",,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Grand Basset Griffon Vendéen,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,"FCI, KC (UK)",GBGV,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Anglo-Français de Petite Vénerie,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,,,
Grand Anglo-Français Blanc et Noir,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Grand Anglo-Français Tricolore,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Grand Anglo-Français Blanc et Orange,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Gończy Polski,Poland,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,Polish Hunting Dog,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Halden Hound,Norway,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,Haldenstøver,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Drever,Sweden,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,"FCI, KC (UK)",Swedish Dachsbracke,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Finnish Hound,Finland,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,Suomenajokoira,6.0,High,Low,group-default heuristic,breed-specific estimate,,,,
Austrian Black and Tan Hound,Austria,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,Brandlbracke,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Tyrolean Hound,Austria,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,Tirolerbracke,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Sabueso Español,Spain,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,Spanish Hound,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Saarloos Wolfdog,Netherlands,11–14,,,,,,,,,"biddable, attentive, protective",,High,,,,"FCI, KC (UK)",Saarloos Wolfhound,1.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Czechoslovakian Wolfdog,Czech Republic/Slovakia,11–14,,,,,,,,,"biddable, attentive, protective",,High,,,,"FCI, KC (UK)",,1.0,High,Moderate,group-default heuristic,breed-specific estimate,,,,
Japanese Terrier,Japan,11–14,,,,,,,,,typical for type,,Moderate,,,,FCI,,,Moderate,Moderate,group-default heuristic,breed-specific estimate,,,,
American Akita,United States/Japan,11–14,,,,,,,,,"independent, alert",,Challenging,,,gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,"FCI, KC (UK)",,5.0,High,Moderate,group-default heuristic,breed-specific estimate,pattern-based (well-established risks),owner education on bloat; consider prophylactic gastropexy where appropriate,Gastrointestinal,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.
Petit Gascon Saintongeois,France,11–14,,,,,,,,,"scent‑driven, friendly",,Moderate,,,,FCI,,6.0,High,Low,group-default heuristic,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
