Name,Coat,Common Health Issues,also_known_as,enrichment_confidence,exercise_level,exercise_needs,fci_group,female_weight_6m_kg_max,female_weight_6m_kg_min,female_weight_adult_kg_max,female_weight_adult_kg_min,grooming,grooming_needs,health_notes_confidence,health_prevalence_notes,health_watchlist_tags,life_span_years,male_weight_6m_kg_max,male_weight_6m_kg_min,male_weight_adult_kg_max,male_weight_adult_kg_min,origin,recognized_by,recommended_screenings,temperament,trainability,weights_confidence
Finnish Lapphund,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,High,"Very High (90–120+ min/day, mental work)",5,17.8,10.6,27,16,Moderate,Moderate,,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.,Orthopedic; Ophthalmic,12–15,18,10.8,30,18,Finland,FCI,hips (OFA/FCI); eye exam (CAER),intelligent;loyal;energetic,Very High,breed-specific estimate
Finnish Spitz,Thick double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Zinc deficiency (https://www.notion.so/Zinc-deficiency-7ba7ebcf17924e74a45ab470d6acf571?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (90–120 min/day),5,18,9.6,30,16,Moderate–High (seasonal blowouts),Moderate,,,,11–14,21,12,35,20,Finland,FCI,,alert;independent;friendly,Moderate,breed-specific estimate
Flat-Coated Retriever,Medium feathered or short,"Hip/elbow dysplasia (https://www.notion.so/Hip-elbow-dysplasia-83bf27f783e446ac84671ff2b07e700f?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), cancer predisposition (breed‑associated) (https://www.notion.so/cancer-predisposition-breed-associated-6eb0172b1c2447a6804061d0503bf697?pvs=21)",,breed-specific,High,High (90–120 min/day),8,19.2,12,32,20,Moderate,Moderate,pattern-based (well-established risks),Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,21.6,15,36,25,England,"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,friendly;people-pleasing;active,High,breed-specific estimate
Fox Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,England,FCI,,bold;feisty;energetic,Moderate,breed-specific estimate
French Bulldog,Varies (often double),"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), Heat intolerance (https://www.notion.so/Heat-intolerance-0bb86f455e634db1a4614f651c83e67e?pvs=21), Ocular issues (corneal/entropion risk) (https://www.notion.so/Ocular-issues-corneal-entropion-risk-306dd7fcd0624c4cbea60152969c40b4?pvs=21), hemivertebrae (spinal malformations) (https://www.notion.so/hemivertebrae-spinal-malformations-28ccf55ca08880c58a81f514f3391bb8?pvs=21)",,breed-specific,Low,Moderate (45–60 min/day),9,15.2,5.3,23,8,Low–Moderate,Varies,pattern-based (well-established risks),BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia,10–13,16.5,5.9,25,9,France,"AKC, FCI",airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling,dignified;loyal;independent,Moderate,breed-specific estimate
German Pinscher,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,,,,9–12,30,17.5,60,35,Germany,FCI,,confident;protective;calm,Moderate–High,breed-specific estimate
German Shepherd Dog,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21), Degenerative myelopathy (DM) (https://www.notion.so/Degenerative-myelopathy-DM-28ccf55ca0888187a970e5eecceb7459?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,High,"Very High (90–120+ min/day, mental work)",1,17.8,10.6,27,16,Moderate,Moderate,pattern-based (well-established risks),Hip/elbow dysplasia risk elevated; degenerative myelopathy (DM) occurs.; Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.,Orthopedic; Neurologic; Gastrointestinal,12–15,18,10.8,30,18,Germany,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); DM DNA test; hips/elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate,intelligent;loyal;energetic,Very High,breed-specific estimate
German Shorthaired Pointer,Medium feathered or short,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Elbow dysplasia (https://www.notion.so/Elbow-dysplasia-28ccf55ca08881ccaa93fc093c8c7773?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21)",,breed-specific,High,High (90–120 min/day),7,19.2,12,32,20,Moderate,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,21.6,15,36,25,Germany,"AKC, FCI",hips/elbows (OFA/FCI); eye exam (CAER),friendly;people-pleasing;active,High,breed-specific estimate
German Wirehaired Pointer,Medium feathered or short,"Hip/elbow dysplasia (https://www.notion.so/Hip-elbow-dysplasia-83bf27f783e446ac84671ff2b07e700f?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21)",,breed-specific,High,High (90–120 min/day),7,19.2,12,32,20,Moderate,Low,,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Orthopedic; Ophthalmic,11–14,21.6,15,36,25,Germany,"AKC, FCI",hips/elbows (OFA/FCI); eye exam (CAER),friendly;people-pleasing;active,High,breed-specific estimate
Giant Schnauzer,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,,,,9–12,30,17.5,60,35,Germany,FCI,,confident;protective;calm,Moderate–High,breed-specific estimate
Glen of Imaal Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,Ireland,"AKC, FCI",,bold;feisty;energetic,Moderate,breed-specific estimate
Golden Retriever,Medium feathered or short,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Elbow dysplasia (https://www.notion.so/Elbow-dysplasia-28ccf55ca08881ccaa93fc093c8c7773?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), cancer predisposition (breed‑associated) (https://www.notion.so/cancer-predisposition-breed-associated-6eb0172b1c2447a6804061d0503bf697?pvs=21)",,breed-specific,High,High (90–120 min/day),8,19.2,12,32,20,Moderate,Moderate,pattern-based (well-established risks),Cancer incidence elevated in the breed; hip/elbow dysplasia can occur.; Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Oncologic; Orthopedic; Otic; Dermatologic,11–14,21.6,15,36,25,Scotland,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); hips/elbows (OFA/FCI); regular lump checks; ear care plan; skin/coat checks,friendly;people-pleasing;active,High,breed-specific estimate
Gordon Setter,Medium feathered or short,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Elbow dysplasia (https://www.notion.so/Elbow-dysplasia-28ccf55ca08881ccaa93fc093c8c7773?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,High,High (90–120 min/day),7,19.2,12,32,20,Moderate,Low,pattern-based (well-established risks),Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Gastrointestinal; Orthopedic; Ophthalmic,11–14,21.6,15,36,25,Scotland,"AKC, FCI",owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); eye exam (CAER),friendly;people-pleasing;active,High,breed-specific estimate
Grand Bleu de Gascogne,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,6,13.2,5.9,20,9,Low–Moderate,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,14.5,6.6,22,10,France,FCI,regular ear checks/cleaning; skin/coat checks,loyal;alert;trainable,Moderate,breed-specific estimate
Grand Griffon Vendéen,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,Moderate,Low–Moderate (20–40 min/day),0,4.5,1.5,6,2,Low to High (breed-specific),Moderate,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,12–16,4.5,1.5,6,2,France,FCI,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),affectionate;alert;playful,Moderate–High,breed-specific estimate
Great Dane,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,pattern-based (well-established risks),Deep‑chested bloat risk high; cardiomyopathy reported; hip issues possible.; Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.,Cardiac; Orthopedic; Gastrointestinal,7–10,40,25,80,50,Germany,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); discuss prophylactic gastropexy; owner education on bloat; consider prophylactic gastropexy where appropriate,gentle;steady;protective,Moderate,breed-specific estimate
Great Pyrenees,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,9–12,30,17.5,60,35,France/Spain (Pyrenees),"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),confident;protective;calm,Moderate–High,breed-specific estimate
Greater Swiss Mountain Dog,Short/medium,"Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21), Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,7–10,40,25,80,50,Switzerland,FCI,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),gentle;steady;protective,Moderate,breed-specific estimate
Greyhound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),10,19.2,10.8,32,18,Low to Moderate,Low,,Sighthounds: unique anesthetic/analgesic considerations; thin skin/pressure sores; some have hyperfibrinolysis tendencies; deep‑chested types with bloat risk.,Anesthesia; Hematologic; Dermatologic; Gastrointestinal,10–14,21,12,35,20,England,"AKC, FCI",anesthesia plan tailored to sighthounds; owner education on bloat for giant/large sighthounds,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Harrier,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,6,13.2,5.9,20,9,Low–Moderate,Low,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,11–14,14.5,6.6,22,10,England,"AKC, FCI",regular ear checks/cleaning; skin/coat checks,loyal;alert;trainable,Moderate,breed-specific estimate
Havanese,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Low,Moderate,9,13.2,5.9,20,9,Low–Moderate,Varies,,Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Dental; Orthopedic; Ophthalmic,11–14,14.5,6.6,22,10,Cuba,"AKC, FCI",patellar exam; routine dental care; eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Hokkaido,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Japan,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Hungarian Puli,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Hungary,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Hungarian Vizsla,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Hungary,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Ibizan Hound,Short or medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (60–120 min/day),5,19.2,10.8,32,18,Low to Moderate,Moderate,,,,10–14,21,12,35,20,Spain (Ibiza),"AKC, FCI",,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
Icelandic Sheepdog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Moderate,,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.,Orthopedic; Ophthalmic,11–14,14.5,6.6,22,10,Iceland,"AKC, FCI",hips (OFA/FCI); eye exam (CAER),loyal;alert;trainable,Moderate,breed-specific estimate
Irish Red and White Setter,Medium feathered or short,"Hip/elbow dysplasia (https://www.notion.so/Hip-elbow-dysplasia-83bf27f783e446ac84671ff2b07e700f?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), CLAD (historical; DNA test) (https://www.notion.so/CLAD-historical-DNA-test-cb9e3aab03ae43d396886955f175da39?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,High,High (90–120 min/day),7,19.2,12,32,20,Moderate,Low,pattern-based (well-established risks),Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Gastrointestinal; Orthopedic; Ophthalmic,11–14,21.6,15,36,25,Ireland,FCI,CLAD DNA test (historical lines); eye exam (CAER); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI),friendly;people-pleasing;active,High,breed-specific estimate
